__run_id,__done,Algorithm,Language,GPT,Repetitions,avg_cpu,avg_mem,avg_disk_io,start_time,end_time,run_time
run_20,DONE,fasta,cpp,False,1,22.82,3.551,0.0,1697573002.177242,1697573011.7854831,9.608241081237793
run_21,DONE,fasta,cpp,False,2,20.5,3.552,0.0,1697573012.8606,1697573022.209547,9.348947048187256
run_22,DONE,fasta,cpp,False,3,20.7,3.55,0.0,1697573023.2705731,1697573032.460798,9.190224885940552
run_23,DONE,fasta,cpp,False,4,18.24,3.545,0.0,1697573033.5184672,1697573043.178014,9.659546852111816
run_24,DONE,fasta,cpp,False,5,20.02,3.555,0.0,1697573044.238525,1697573053.6905322,9.452007293701172
run_25,DONE,fasta,cpp,True,1,29.757,3.538,0.0,1697573063.756094,1697573075.814375,12.058280944824219
run_26,DONE,fasta,cpp,True,2,27.9,3.539,0.0,1697573076.888672,1697573087.8974888,11.008816719055176
run_27,DONE,fasta,cpp,True,3,29.143,3.536,0.0,1697573088.9583402,1697573101.0691378,12.110797643661499
run_28,DONE,fasta,cpp,True,4,28.043,3.539,0.0,1697573102.1302578,1697573114.3615592,12.231301307678223
run_29,DONE,fasta,cpp,True,5,24.95,3.538,0.0,1697573115.4308019,1697573128.8682292,13.437427282333374
run_30,DONE,knucleotide,py,False,1,39.0,3.562,0.0,1697573138.9403882,1697573143.146871,4.206482887268066
run_31,DONE,knucleotide,py,False,2,25.95,3.561,0.0,1697573144.203796,1697573148.355891,4.152095079421997
run_32,DONE,knucleotide,py,False,3,37.35,3.556,0.0,1697573149.413833,1697573153.550688,4.136855125427246
run_33,DONE,knucleotide,py,False,4,38.95,3.561,0.0,1697573154.60755,1697573158.7314508,4.123900890350342
run_34,DONE,knucleotide,py,False,5,23.45,3.57,0.0,1697573159.786079,1697573163.9440389,4.157959938049316
run_35,DONE,knucleotide,py,True,1,33.3,3.586,0.0,1697573173.9956381,1697573176.741782,2.7461438179016113
run_36,DONE,knucleotide,py,True,2,34.1,3.586,0.0,1697573177.7986,1697573180.4227781,2.624178171157837
run_37,DONE,knucleotide,py,True,3,32.1,3.581,0.0,1697573181.478911,1697573184.133413,2.6545021533966064
run_38,DONE,knucleotide,py,True,4,33.3,3.623,0.0,1697573185.191233,1697573187.8948832,2.7036502361297607
run_39,DONE,knucleotide,py,True,5,34.1,3.576,0.0,1697573188.9494941,1697573191.590743,2.641248941421509
run_40,DONE,knucleotide,js,False,1,33.3,3.594,0.0,1697573201.6494641,1697573204.392202,2.7427377700805664
run_41,DONE,knucleotide,js,False,2,32.9,3.595,0.0,1697573205.4508312,1697573208.101352,2.6505208015441895
run_42,DONE,knucleotide,js,False,3,32.2,3.588,0.0,1697573209.1604989,1697573211.750449,2.5899500846862793
run_43,DONE,knucleotide,js,False,4,33.3,3.586,0.0,1697573212.805769,1697573215.475135,2.6693661212921143
run_44,DONE,knucleotide,js,False,5,32.6,3.593,0.0,1697573216.5281842,1697573219.233366,2.705181837081909
run_45,DONE,knucleotide,js,True,1,33.0,3.592,0.0,1697573229.291101,1697573232.000061,2.7089600563049316
run_46,DONE,knucleotide,js,True,2,33.3,3.591,0.0,1697573233.057566,1697573235.755489,2.697923183441162
run_47,DONE,knucleotide,js,True,3,33.3,3.588,0.0,1697573236.814833,1697573239.468856,2.6540231704711914
run_48,DONE,knucleotide,js,True,4,33.0,3.588,0.0,1697573240.527374,1697573243.189728,2.662353992462158
run_49,DONE,knucleotide,js,True,5,33.3,3.594,0.0,1697573244.244558,1697573246.983391,2.738832950592041
run_50,DONE,knucleotide,cpp,False,1,16.0,3.532,0.0,1697573257.046644,1697573259.764468,2.7178239822387695
run_51,DONE,knucleotide,cpp,False,2,8.1,3.52,0.0,1697573260.817301,1697573263.46276,2.645458936691284
run_52,DONE,knucleotide,cpp,False,3,14.9,3.533,0.0,1697573264.5190241,1697573267.22551,2.7064857482910156
run_53,DONE,knucleotide,cpp,False,4,15.1,3.524,0.0,1697573268.2787871,1697573270.879199,2.600411891937256
run_54,DONE,knucleotide,cpp,False,5,15.2,3.525,0.0,1697573271.936956,1697573274.541688,2.604732036590576
run_55,DONE,knucleotide,cpp,True,1,9.4,3.538,0.0,1697573284.59518,1697573287.2873678,2.692187786102295
run_56,DONE,knucleotide,cpp,True,2,10.5,3.533,0.0,1697573288.343725,1697573290.962795,2.619070053100586
run_57,DONE,knucleotide,cpp,True,3,9.2,3.534,0.0,1697573292.018739,1697573294.699994,2.6812551021575928
run_58,DONE,knucleotide,cpp,True,4,9.4,3.531,0.0,1697573295.755446,1697573298.361459,2.606013059616089
run_59,DONE,knucleotide,cpp,True,5,12.8,3.53,0.0,1697573299.420547,1697573302.0404322,2.619885206222534
run_60,DONE,pidigits,py,False,1,33.3,3.586,0.0,1697573312.09695,1697573314.7687528,2.6718027591705322
run_61,DONE,pidigits,py,False,2,33.3,3.579,0.0,1697573315.8270311,1697573318.5597382,2.7327070236206055
run_62,DONE,pidigits,py,False,3,32.9,3.582,0.0,1697573319.615774,1697573322.376956,2.7611820697784424
run_63,DONE,pidigits,py,False,4,32.9,3.578,0.0,1697573323.430774,1697573326.1337159,2.70294189453125
run_64,DONE,pidigits,py,False,5,33.7,3.576,0.0,1697573327.1927161,1697573329.829481,2.6367647647857666
run_65,DONE,pidigits,py,True,1,32.9,3.579,0.0,1697573339.8912141,1697573342.626587,2.73537278175354
run_66,DONE,pidigits,py,True,2,33.3,3.585,0.0,1697573343.676366,1697573346.313998,2.637631893157959
run_67,DONE,pidigits,py,True,3,33.3,3.578,0.0,1697573347.369222,1697573350.0041568,2.634934902191162
run_68,DONE,pidigits,py,True,4,33.3,3.578,0.0,1697573351.059632,1697573353.783351,2.7237188816070557
run_69,DONE,pidigits,py,True,5,32.6,3.579,0.0,1697573354.8418932,1697573357.440842,2.5989487171173096
run_70,DONE,pidigits,js,False,1,32.5,3.6,0.0,1697573367.498691,1697573369.858263,2.359571933746338
run_71,DONE,pidigits,js,False,2,33.8,3.596,0.0,1697573370.9199822,1697573373.5389152,2.6189329624176025
run_72,DONE,pidigits,js,False,3,32.5,3.596,0.0,1697573374.593594,1697573377.2276108,2.634016752243042
run_73,DONE,pidigits,js,False,4,32.6,3.592,0.0,1697573378.293268,1697573381.010933,2.717664957046509
run_74,DONE,pidigits,js,False,5,32.5,3.592,0.0,1697573382.069933,1697573384.717429,2.647495985031128
run_75,DONE,pidigits,js,True,1,32.6,3.59,0.0,1697573394.773123,1697573397.0436952,2.2705721855163574
run_76,DONE,pidigits,js,True,2,33.7,3.614,0.0,1697573398.1036491,1697573400.6927848,2.5891356468200684
run_77,DONE,pidigits,js,True,3,32.6,3.593,0.0,1697573401.7498088,1697573404.474891,2.7250821590423584
run_78,DONE,pidigits,js,True,4,32.5,3.592,0.0,1697573405.531293,1697573408.155669,2.624376058578491
run_79,DONE,pidigits,js,True,5,32.6,3.585,0.0,1697573409.2142808,1697573411.8188019,2.6045210361480713
run_80,DONE,pidigits,cpp,False,1,7.1,3.533,0.0,1697573421.871258,1697573424.629216,2.757957935333252
run_81,DONE,pidigits,cpp,False,2,7.2,3.529,0.0,1697573425.691021,1697573428.239799,2.5487780570983887
run_82,DONE,pidigits,cpp,False,3,7.1,3.526,0.0,1697573429.2962098,1697573432.0333388,2.737128973007202
run_83,DONE,pidigits,cpp,False,4,7.0,3.532,0.0,1697573433.08944,1697573435.396595,2.307154893875122
run_84,DONE,pidigits,cpp,False,5,8.2,3.535,0.0,1697573436.4510112,1697573439.080999,2.6299877166748047
run_85,DONE,pidigits,cpp,True,1,9.4,3.534,0.0,1697573449.137302,1697573451.798733,2.661431074142456
run_86,DONE,pidigits,cpp,True,2,10.4,3.536,0.0,1697573452.859967,1697573455.452565,2.5925979614257812
run_87,DONE,pidigits,cpp,True,3,29.4,3.526,0.0,1697573456.506492,1697573458.848025,2.3415331840515137
run_88,DONE,pidigits,cpp,True,4,7.2,3.52,0.0,1697573459.902396,1697573462.529849,2.627453088760376
run_89,DONE,pidigits,cpp,True,5,7.1,3.53,0.0,1697573463.578829,1697573466.221193,2.642364025115967
run_90,DONE,regexredux,py,False,1,26.55,3.565,0.0,1697573476.277906,1697573480.3884459,4.11053991317749
run_91,DONE,regexredux,py,False,2,19.3,3.575,0.0,1697573481.4450371,1697573485.591619,4.1465818881988525
run_92,DONE,regexredux,py,False,3,28.85,3.571,0.0,1697573486.642015,1697573490.785173,4.143157958984375
run_93,DONE,regexredux,py,False,4,21.25,3.566,0.0,1697573491.850832,1697573495.972899,4.122066974639893
run_94,DONE,regexredux,py,False,5,27.55,3.567,0.0,1697573497.031682,1697573501.09527,4.06358790397644
run_95,DONE,regexredux,py,True,1,35.9,3.576,0.0,1697573511.155099,1697573513.7922518,2.637152910232544
run_96,DONE,regexredux,py,True,2,32.6,3.589,0.0,1697573514.8535302,1697573517.1094642,2.255934000015259
run_97,DONE,regexredux,py,True,3,33.3,3.58,0.0,1697573518.1632519,1697573520.788621,2.625369071960449
run_98,DONE,regexredux,py,True,4,33.3,3.587,0.0,1697573521.847845,1697573524.173971,2.3261258602142334
run_99,DONE,regexredux,py,True,5,32.5,3.594,0.0,1697573525.231236,1697573527.874707,2.6434710025787354
run_100,DONE,regexredux,js,False,1,32.6,3.6,0.0,1697573537.929777,1697573540.661556,2.731779098510742
run_101,DONE,regexredux,js,False,2,33.3,3.6,0.0,1697573541.724843,1697573544.30202,2.577177047729492
run_102,DONE,regexredux,js,False,3,33.3,3.602,0.0,1697573545.3577652,1697573547.585361,2.227595806121826
run_103,DONE,regexredux,js,False,4,32.2,3.6,0.0,1697573548.640655,1697573551.239398,2.598742961883545
run_104,DONE,regexredux,js,False,5,32.2,3.598,0.0,1697573552.294213,1697573554.9011352,2.606922149658203
run_105,DONE,regexredux,js,True,1,33.3,3.601,0.0,1697573564.962585,1697573567.601102,2.638517141342163
run_106,DONE,regexredux,js,True,2,33.0,3.591,0.0,1697573568.655411,1697573571.247533,2.5921220779418945
run_107,DONE,regexredux,js,True,3,33.3,3.6,0.0,1697573572.3028312,1697573574.5751722,2.272341012954712
run_108,DONE,regexredux,js,True,4,33.3,3.602,0.0,1697573575.633884,1697573577.946452,2.312567949295044
run_109,DONE,regexredux,js,True,5,32.6,3.602,0.0,1697573579.002058,1697573581.633352,2.631294012069702
run_110,DONE,regexredux,cpp,False,1,9.5,3.53,0.0,1697573591.6880589,1697573594.433362,2.745303153991699
run_111,DONE,regexredux,cpp,False,2,7.2,3.533,0.0,1697573595.4992661,1697573597.792235,2.29296875
run_112,DONE,regexredux,cpp,False,3,9.6,3.536,0.0,1697573598.8417752,1697573601.4862301,2.6444549560546875
run_113,DONE,regexredux,cpp,False,4,8.3,3.537,0.0,1697573602.539816,1697573605.181155,2.641339063644409
run_114,DONE,regexredux,cpp,False,5,13.8,3.535,0.0,1697573606.2363899,1697573608.806493,2.570103168487549
