__run_id,__done,Algorithm,Language,GPT,Repetitions,avg_cpu,avg_mem,avg_disk_io,start_time,end_time,run_time
run_0,DONE,fasta,py,False,1,66.5,4.308,0.0,1697568162.1472409,1697568178.99616,16.8489191532135
run_1,DONE,fasta,py,False,2,49.611,3.979,0.0,1697568180.0675101,1697568195.659982,15.592471837997437
run_2,DONE,fasta,py,False,3,50.533,3.989,0.0,1697568196.723812,1697568211.998813,15.275000810623169
run_3,DONE,fasta,py,False,4,49.989,3.929,0.0,1697568213.060343,1697568228.062976,15.002632856369019
run_4,DONE,fasta,py,False,5,50.156,4.005,0.0,1697568229.123394,1697568244.253047,15.129652976989746
run_5,DONE,fasta,py,True,1,30.667,3.596,0.0,1697568254.318345,1697568264.1513119,9.832966804504395
run_6,DONE,fasta,py,True,2,28.817,3.594,0.0,1697568265.2090628,1697568274.993645,9.784582138061523
run_7,DONE,fasta,py,True,3,29.267,3.603,0.0,1697568276.0504498,1697568285.92164,9.871190071105957
run_8,DONE,fasta,py,True,4,32.66,3.614,0.0,1697568286.972675,1697568295.4206588,8.447983741760254
run_9,DONE,fasta,py,True,5,32.7,3.62,0.0,1697568296.461226,1697568304.930657,8.469430923461914
run_10,DONE,fasta,js,False,1,16.05,3.587,0.0,1697568314.972498,1697568326.098805,11.126307010650635
run_11,DONE,fasta,js,False,2,19.65,3.606,0.0,1697568327.1590312,1697568338.0739388,10.914907693862915
run_12,DONE,fasta,js,False,3,18.167,3.602,0.0,1697568339.141084,1697568349.8635871,10.722503185272217
run_13,DONE,fasta,js,False,4,19.0,3.597,0.0,1697568350.927947,1697568361.6588612,10.730914115905762
run_14,DONE,fasta,js,False,5,19.05,3.598,0.0,1697568362.723407,1697568373.668643,10.945235967636108
run_15,DONE,fasta,js,True,1,32.2,3.547,0.0,1697568383.7312279,1697568386.4031959,2.6719679832458496
run_16,DONE,fasta,js,True,2,33.7,3.576,0.0,1697568387.444854,1697568390.037052,2.592197895050049
run_17,DONE,fasta,js,True,3,33.3,3.579,0.0,1697568391.088243,1697568393.720479,2.6322360038757324
run_18,DONE,fasta,js,True,4,34.1,3.575,0.0,1697568394.773141,1697568397.5117598,2.738618850708008
run_19,DONE,fasta,js,True,5,33.4,3.572,0.0,1697568398.56526,1697568401.327293,2.762032985687256
run_20,DONE,fasta,cpp,False,1,16.78,3.541,0.0,1697568411.381182,1697568420.848246,9.467064142227173
run_21,DONE,fasta,cpp,False,2,15.367,3.533,0.0,1697568421.9128032,1697568432.608567,10.69576382637024
run_22,DONE,fasta,cpp,False,3,17.367,3.523,0.0,1697568433.6739872,1697568444.3026628,10.628675699234009
run_23,DONE,fasta,cpp,False,4,18.6,3.538,0.0,1697568445.367358,1697568454.83231,9.464951992034912
run_24,DONE,fasta,cpp,False,5,17.533,3.528,0.0,1697568455.894368,1697568466.641322,10.746953964233398
