cpu_usage,mem_usage,disk_io
31.9,3.56797,0.0
41.2,3.86945,0.0
60.6,4.04654,0.0
58.7,4.12063,0.0
56.9,4.30162,0.0
58.4,4.26272,0.0
58.4,4.31987,0.0
57.4,4.00439,0.0
6.9,3.54672,0.0
