cpu_usage,mem_usage,disk_io
39.3,3.53012,0.0
36.3,3.53382,0.0
35.7,3.53067,0.0
36.1,3.54302,0.0
30.6,3.55372,0.0
8.2,3.55057,0.0
8.2,3.53322,0.0
5.2,3.52887,0.0
