__run_id,__done,Algorithm,Language,GPT,Repetitions,avg_cpu,avg_mem,avg_disk_io,start_time,end_time,run_time
run_0,DONE,fasta,py,False,1,58.35,4.179,0.0,1697575537.0795,1697575554.1796072,17.100107192993164
run_1,DONE,fasta,py,False,2,48.722,3.96,0.0,1697575555.2631822,1697575570.388556,15.125373840332031
run_2,DONE,fasta,py,False,3,49.7,3.918,0.0,1697575571.474036,1697575587.177887,15.703850984573364
run_3,DONE,fasta,py,False,4,49.444,4.005,0.0,1697575588.2493062,1697575603.328535,15.07922887802124
run_4,DONE,fasta,py,False,5,48.578,3.935,0.0,1697575604.39814,1697575620.071004,15.672863960266113
run_5,DONE,fasta,py,True,1,29.45,3.598,0.0,1697575630.135669,1697575640.298004,10.16233491897583
run_6,DONE,fasta,py,True,2,32.54,3.61,0.0,1697575641.3507059,1697575649.924032,8.573326110839844
run_7,DONE,fasta,py,True,3,33.78,3.619,0.0,1697575650.974263,1697575659.539959,8.565696001052856
run_8,DONE,fasta,py,True,4,33.0,3.614,0.0,1697575660.588068,1697575669.3776371,8.78956913948059
run_9,DONE,fasta,py,True,5,34.36,3.614,0.0,1697575670.422459,1697575679.199171,8.77671217918396
run_10,DONE,fasta,js,False,1,16.9,3.604,0.0,1697575689.250939,1697575700.196595,10.945656061172485
run_11,DONE,fasta,js,False,2,18.65,3.591,0.0,1697575701.261698,1697575712.119353,10.857655048370361
run_12,DONE,fasta,js,False,3,19.133,3.594,0.0,1697575713.1865659,1697575724.135543,10.94897723197937
run_13,DONE,fasta,js,False,4,18.217,3.599,0.0,1697575725.1998029,1697575736.139198,10.939395189285278
run_14,DONE,fasta,js,False,5,19.333,3.597,0.0,1697575737.203305,1697575748.1018822,10.898577213287354
run_15,DONE,fasta,js,True,1,33.3,3.579,0.0,1697575758.1660821,1697575760.808064,2.641981840133667
run_16,DONE,fasta,js,True,2,33.0,3.57,0.0,1697575761.858459,1697575764.509717,2.6512579917907715
run_17,DONE,fasta,js,True,3,33.3,3.566,0.0,1697575765.553973,1697575768.151679,2.5977060794830322
run_18,DONE,fasta,js,True,4,34.1,3.569,0.0,1697575769.203458,1697575771.874933,2.6714749336242676
run_19,DONE,fasta,js,True,5,33.7,3.576,0.0,1697575772.926383,1697575775.561302,2.6349189281463623
run_20,DONE,fasta,cpp,False,1,19.56,3.538,0.0,1697575785.6113439,1697575795.239167,9.627823114395142
run_21,DONE,fasta,cpp,False,2,21.3,3.539,0.0,1697575796.3005471,1697575805.870775,9.570227861404419
run_22,DONE,fasta,cpp,False,3,22.74,3.538,0.0,1697575806.9331808,1697575816.404437,9.471256256103516
run_23,DONE,fasta,cpp,False,4,19.78,3.531,0.0,1697575817.461303,1697575826.829291,9.367988109588623
run_24,DONE,fasta,cpp,False,5,19.62,3.53,0.0,1697575827.889935,1697575837.325948,9.436012983322144
run_25,DONE,fasta,cpp,True,1,27.186,3.517,0.0,1697575847.385534,1697575859.819552,12.434017896652222
run_26,DONE,fasta,cpp,True,2,27.971,3.519,0.0,1697575860.889247,1697575873.126923,12.23767614364624
run_27,DONE,fasta,cpp,True,3,28.825,3.515,0.0,1697575874.1934788,1697575887.33851,13.145031213760376
run_28,DONE,fasta,cpp,True,4,29.271,3.522,0.0,1697575888.399677,1697575900.82088,12.421202898025513
run_29,DONE,fasta,cpp,True,5,27.9,3.521,0.0,1697575901.891226,1697575914.084524,12.193297863006592
run_30,DONE,knucleotide,py,False,1,39.1,3.546,0.0,1697575924.148731,1697575928.2395961,4.090865135192871
run_31,DONE,knucleotide,py,False,2,24.1,3.555,0.0,1697575929.290884,1697575933.4311821,4.140298128128052
run_32,DONE,knucleotide,py,False,3,39.0,3.541,0.0,1697575934.4833322,1697575938.6483588,4.165026664733887
run_33,DONE,knucleotide,py,False,4,38.35,3.543,0.0,1697575939.699647,1697575943.796702,4.097054958343506
run_34,DONE,knucleotide,py,False,5,31.5,3.542,0.0,1697575944.849542,1697575948.952287,4.102745056152344
run_35,DONE,knucleotide,py,True,1,33.7,3.562,0.0,1697575959.002639,1697575961.743754,2.741114854812622
run_36,DONE,knucleotide,py,True,2,33.0,3.563,0.0,1697575962.7873862,1697575965.109324,2.3219377994537354
run_37,DONE,knucleotide,py,True,3,32.2,3.569,0.0,1697575966.159917,1697575968.7897978,2.629880666732788
run_38,DONE,knucleotide,py,True,4,33.0,3.585,0.0,1697575969.845681,1697575972.6641018,2.818420886993408
run_39,DONE,knucleotide,py,True,5,34.9,3.561,0.0,1697575973.7153049,1697575976.385142,2.669837236404419
run_40,DONE,knucleotide,js,False,1,33.3,3.575,0.0,1697575986.438783,1697575989.155246,2.716463088989258
run_41,DONE,knucleotide,js,False,2,20.35,3.543,0.0,1697575990.209248,1697575994.242078,4.032829999923706
run_42,DONE,knucleotide,js,False,3,32.9,3.576,0.0,1697575995.293925,1697575998.058205,2.764279842376709
run_43,DONE,knucleotide,js,False,4,32.5,3.575,0.0,1697575999.1087139,1697576001.749975,2.641261100769043
run_44,DONE,knucleotide,js,False,5,33.3,3.569,0.0,1697576002.800469,1697576005.553369,2.7529001235961914
run_45,DONE,knucleotide,js,True,1,32.2,3.569,0.0,1697576015.604022,1697576018.346331,2.7423088550567627
run_46,DONE,knucleotide,js,True,2,32.6,3.562,0.0,1697576019.4047842,1697576022.01548,2.6106958389282227
run_47,DONE,knucleotide,js,True,3,32.1,3.567,0.0,1697576023.071501,1697576025.7160041,2.644503116607666
run_48,DONE,knucleotide,js,True,4,33.3,3.578,0.0,1697576026.762539,1697576029.416266,2.6537270545959473
run_49,DONE,knucleotide,js,True,5,33.7,3.58,0.0,1697576030.465583,1697576033.038801,2.5732178688049316
run_50,DONE,knucleotide,cpp,False,1,15.1,3.512,0.0,1697576043.08931,1697576045.425044,2.3357341289520264
run_51,DONE,knucleotide,cpp,False,2,16.9,3.506,0.0,1697576046.469652,1697576049.113824,2.644171953201294
run_52,DONE,knucleotide,cpp,False,3,15.8,3.509,0.0,1697576050.168201,1697576052.810136,2.641935110092163
run_53,DONE,knucleotide,cpp,False,4,15.9,3.513,0.0,1697576053.8614101,1697576056.513767,2.6523568630218506
run_54,DONE,knucleotide,cpp,False,5,14.2,3.516,0.0,1697576057.565708,1697576060.2864158,2.720707893371582
run_55,DONE,knucleotide,cpp,True,1,9.3,3.503,0.0,1697576070.344379,1697576072.9824152,2.6380362510681152
run_56,DONE,knucleotide,cpp,True,2,9.5,3.51,0.0,1697576074.03951,1697576076.666511,2.6270010471343994
run_57,DONE,knucleotide,cpp,True,3,9.3,3.517,0.0,1697576077.721635,1697576080.334796,2.6131608486175537
run_58,DONE,knucleotide,cpp,True,4,36.3,3.51,0.0,1697576081.385251,1697576083.6728141,2.2875630855560303
run_59,DONE,knucleotide,cpp,True,5,10.5,3.517,0.0,1697576084.726065,1697576087.49392,2.767855167388916
run_60,DONE,pidigits,py,False,1,33.3,3.594,0.0,1697576097.547664,1697576100.266871,2.7192070484161377
run_61,DONE,pidigits,py,False,2,33.3,3.571,0.0,1697576101.322365,1697576104.048445,2.7260799407958984
run_62,DONE,pidigits,py,False,3,31.8,3.565,0.0,1697576105.100776,1697576107.716928,2.616152048110962
run_63,DONE,pidigits,py,False,4,33.3,3.565,0.0,1697576108.7592902,1697576111.062767,2.3034768104553223
run_64,DONE,pidigits,py,False,5,31.8,3.562,0.0,1697576112.115839,1697576114.670968,2.555129051208496
run_65,DONE,pidigits,py,True,1,34.1,3.57,0.0,1697576124.7274659,1697576127.4031549,2.6756889820098877
run_66,DONE,pidigits,py,True,2,31.8,3.564,0.0,1697576128.457537,1697576130.672513,2.2149760723114014
run_67,DONE,pidigits,py,True,3,32.6,3.565,0.0,1697576131.72585,1697576134.059196,2.333345890045166
run_68,DONE,pidigits,py,True,4,32.1,3.57,0.0,1697576135.111627,1697576137.745879,2.634251832962036
run_69,DONE,pidigits,py,True,5,30.9,3.562,0.0,1697576138.796475,1697576141.0295098,2.23303484916687
run_70,DONE,pidigits,js,False,1,31.8,3.576,0.0,1697576151.081005,1697576153.709287,2.628281831741333
run_71,DONE,pidigits,js,False,2,31.8,3.571,0.0,1697576154.763815,1697576157.085712,2.321897029876709
run_72,DONE,pidigits,js,False,3,34.1,3.57,0.0,1697576158.134998,1697576160.779055,2.644057035446167
run_73,DONE,pidigits,js,False,4,33.3,3.576,0.0,1697576161.826902,1697576164.458696,2.631793975830078
run_74,DONE,pidigits,js,False,5,33.3,3.571,0.0,1697576165.5106702,1697576168.2456262,2.7349560260772705
run_75,DONE,pidigits,js,True,1,31.3,3.566,0.0,1697576178.295525,1697576180.646646,2.351120948791504
run_76,DONE,pidigits,js,True,2,32.6,3.578,0.0,1697576181.6978471,1697576184.438025,2.740177869796753
run_77,DONE,pidigits,js,True,3,33.8,3.573,0.0,1697576185.487048,1697576188.109799,2.622750997543335
run_78,DONE,pidigits,js,True,4,32.1,3.577,0.0,1697576189.1626859,1697576191.8922508,2.729564905166626
run_79,DONE,pidigits,js,True,5,34.1,3.574,0.0,1697576192.948692,1697576195.576527,2.6278350353240967
run_80,DONE,pidigits,cpp,False,1,7.1,3.514,0.0,1697576205.621005,1697576207.971266,2.3502609729766846
run_81,DONE,pidigits,cpp,False,2,8.2,3.511,0.0,1697576209.030609,1697576211.646846,2.616237163543701
run_82,DONE,pidigits,cpp,False,3,6.0,3.515,0.0,1697576212.6943629,1697576215.357086,2.6627230644226074
run_83,DONE,pidigits,cpp,False,4,7.2,3.515,0.0,1697576216.418167,1697576219.001048,2.582880973815918
