__run_id,__done,Algorithm,Language,GPT,Repetitions,avg_cpu,avg_mem,avg_disk_io,start_time,end_time,run_time,total_energy(J),monsoon_run_time(ms),average_power(W)
run_50,DONE,knucleotide,cpp,False,1,16.0,3.537,0.0,1697574654.497542,1697574656.850803,2.3532609939575195,0.008865880263780386,2.3663721084594727,3.7466128983206053
run_51,DONE,knucleotide,cpp,False,2,14.9,3.537,0.0,1697574657.913432,1697574660.4955862,2.5821540355682373,0.009760069539708646,2.5897486209869385,3.7687324015213255
run_52,DONE,knucleotide,cpp,False,3,16.1,3.542,0.0,1697574661.55378,1697574664.269192,2.715411901473999,0.010050033520851803,2.7057857513427734,3.714275424750231
run_53,DONE,knucleotide,cpp,False,4,19.5,3.545,0.0,1697574665.3245828,1697574667.946342,2.6217591762542725,0.010350166394560024,2.6304540634155273,3.9347451599746983
run_54,DONE,knucleotide,cpp,False,5,13.7,3.537,0.0,1697574668.996106,1697574671.643033,2.6469271183013916,0.00995594085232912,2.6417057514190674,3.768754656714134
run_55,DONE,knucleotide,cpp,True,1,10.3,3.536,0.0,1697574681.6977768,1697574684.386687,2.6889102458953857,0.009825052323421686,2.684422492980957,3.660024585962737
run_56,DONE,knucleotide,cpp,True,2,8.0,3.536,0.0,1697574685.443681,1697574688.128982,2.6853010654449463,0.010564850028198082,2.6930816173553467,3.922959467739025
run_57,DONE,knucleotide,cpp,True,3,9.4,3.537,0.0,1697574689.189167,1697574691.822229,2.63306188583374,0.010401013670463335,2.6216883659362793,3.9672959630153595
run_58,DONE,knucleotide,cpp,True,4,8.2,3.537,0.0,1697574692.873903,1697574695.5057411,2.631838083267212,0.010089918040400284,2.6381213665008545,3.8246602936935106
run_59,DONE,knucleotide,cpp,True,5,9.4,3.537,0.0,1697574696.558318,1697574699.1956549,2.6373367309570312,0.01031248845178331,2.640695095062256,3.9052174069873775
run_60,DONE,pidigits,py,False,1,34.1,3.577,0.0,1697574709.2549582,1697574711.625087,2.370128870010376,0.00887327340706191,2.364520788192749,3.7526730369090693
run_61,DONE,pidigits,py,False,2,33.7,3.584,0.0,1697574712.684155,1697574715.306221,2.622066020965576,0.009871594935022064,2.6222000122070312,3.764623174840665
