__run_id,__done,Algorithm,Language,GPT,Repetitions,avg_cpu,avg_mem,avg_disk_io,start_time,end_time,run_time,total_energy(J),monsoon_run_time(ms),average_power(W)
run_0,DONE,fasta,py,False,1,50.5,3.952,0.0,1697566166.406663,1697566181.872083,15.465420007705688,0.06372194920499395,15.475669860839844,4.117556769948816
run_1,DONE,fasta,py,False,2,49.122,3.931,0.0,1697566182.950188,1697566198.242013,15.29182505607605,0.06214624594319747,15.28169298171997,4.066712112168271
run_2,DONE,fasta,py,False,3,48.211,3.938,0.0,1697566199.307946,1697566214.596058,15.2881121635437,0.06186070996859852,15.284332036972046,4.0473283241269895
run_3,DONE,fasta,py,False,4,47.689,3.948,0.0,1697566215.661558,1697566230.888096,15.226538181304932,0.06164829135579773,15.227540969848633,4.048473189326152
run_4,DONE,fasta,py,False,5,49.989,3.939,0.0,1697566231.947508,1697566246.753894,14.80638599395752,0.060710818903914575,14.800622701644897,4.101909772834582
run_5,DONE,fasta,py,True,1,29.317,3.58,0.0,1697566256.806606,1697566266.621771,9.815165042877195,0.037479966515564275,9.82667350769043,3.81410519910244
run_6,DONE,fasta,py,True,2,29.867,3.584,0.0,1697566267.6742349,1697566277.542246,9.868010997772217,0.03747323035973418,9.851609706878662,3.803767249688074
run_7,DONE,fasta,py,True,3,33.017,3.582,0.0,1697566278.595516,1697566288.417495,9.82197904586792,0.037200239490748396,9.822373867034912,3.787296227401499
run_8,DONE,fasta,py,True,4,28.7,3.577,0.0,1697566289.4759371,1697566299.312727,9.836789846420288,0.03792135633052181,9.8399498462677,3.853816017660436
run_9,DONE,fasta,py,True,5,33.24,3.591,0.0,1697566300.361394,1697566308.9008782,8.53948426246643,0.03248618405641143,8.522047519683838,3.8120163002349288
run_10,DONE,fasta,js,False,1,18.8,3.582,0.0,1697566318.956183,1697566329.822746,10.866563081741331,0.03997805020802528,10.871655702590942,3.677273388863637
run_11,DONE,fasta,js,False,2,19.267,3.59,0.0,1697566330.877232,1697566341.982206,11.104973793029783,0.039805059841346434,11.109326839447021,3.583030764745038
run_12,DONE,fasta,js,False,3,18.65,3.584,0.0,1697566343.033939,1697566353.771747,10.737808227539062,0.0396073692686273,10.743309736251831,3.686700862302949
run_13,DONE,fasta,js,False,4,18.367,3.594,0.0,1697566354.84058,1697566365.481452,10.64087200164795,0.03953568089142072,10.626707792282104,3.7204072666921766
run_14,DONE,fasta,js,False,5,18.1,3.586,0.0,1697566366.548714,1697566377.3367412,10.78802728652954,0.03944223264280401,10.792818307876587,3.65448870884995
run_15,DONE,fasta,js,True,1,32.6,3.551,0.0,1697566387.3989398,1697566390.1513531,2.752413272857666,0.010110115222879884,2.7549264430999756,3.6698312756051292
run_16,DONE,fasta,js,True,2,33.0,3.541,0.0,1697566391.203409,1697566393.753324,2.549915075302124,0.010340351979202828,2.5503387451171875,4.054501386923677
run_17,DONE,fasta,js,True,3,33.7,3.552,0.0,1697566394.804016,1697566397.5196002,2.7155840396881104,0.010545230508328667,2.71347975730896,3.8862388709273774
run_18,DONE,fasta,js,True,4,33.7,3.55,0.0,1697566398.568795,1697566401.205256,2.636461019515991,0.009739502045929119,2.649418354034424,3.6760906525382113
run_19,DONE,fasta,js,True,5,33.3,3.554,0.0,1697566402.256675,1697566404.8889542,2.63227915763855,0.01061480446784165,2.652118682861328,4.002386671621162
run_20,DONE,fasta,cpp,False,1,21.64,3.532,0.0,1697566414.936022,1697566424.440342,9.50431990623474,0.03403770008002182,9.5123610496521,3.5782598980793203
run_21,DONE,fasta,cpp,False,2,20.86,3.514,0.0,1697566425.4993951,1697566434.982167,9.48277187347412,0.03420035739612217,9.475076675415039,3.6095071910987024
run_22,DONE,fasta,cpp,False,3,15.64,3.51,0.0,1697566436.0439749,1697566445.1809669,9.13699197769165,0.03352076444329133,9.12938666343689,3.6717433140981623
run_23,DONE,fasta,cpp,False,4,19.28,3.525,0.0,1697566446.221696,1697566455.549213,9.327517032623293,0.03374029907598468,9.332122325897217,3.6155011580113197
run_24,DONE,fasta,cpp,False,5,19.78,3.512,0.0,1697566456.61191,1697566465.911957,9.300047159194946,0.03443243075695704,9.279467821121216,3.710604036859158
run_25,DONE,fasta,cpp,True,1,28.857,3.503,0.0,1697566475.9703412,1697566488.3388531,12.36851191520691,0.046248826259650995,12.35729694366455,3.7426329132086007
run_26,DONE,fasta,cpp,True,2,30.929,3.503,0.0,1697566489.405211,1697566501.6347709,12.229559898376465,0.04700572837875132,12.231649398803711,3.8429591011126107
run_27,DONE,fasta,cpp,True,3,28.743,3.506,0.0,1697566502.698422,1697566514.8188548,12.12043285369873,0.04616626169131198,12.117027044296265,3.810032074909282
run_28,DONE,fasta,cpp,True,4,28.457,3.508,0.0,1697566515.8849669,1697566528.1020658,12.217098951339722,0.046393590511752125,12.210004329681396,3.799637515195107
run_29,DONE,fasta,cpp,True,5,28.057,3.501,0.0,1697566529.165122,1697566541.3712158,12.206093788146973,0.046031775077701974,12.202286005020142,3.772389457087307
run_30,DONE,knucleotide,py,False,1,39.9,3.527,0.0,1697566551.4364018,1697566555.617773,4.181371212005615,0.015323625985919749,4.186339616775513,3.660387686778891
run_31,DONE,knucleotide,py,False,2,21.9,3.53,0.0,1697566556.673399,1697566560.862716,4.189316987991333,0.01600263847712216,4.1744725704193115,3.8334515815287173
run_32,DONE,knucleotide,py,False,3,39.05,3.524,0.0,1697566561.920064,1697566566.044683,4.124619007110596,0.015541252337744118,4.114404678344727,3.7772785014420474
run_33,DONE,knucleotide,py,False,4,24.35,3.527,0.0,1697566567.099203,1697566571.2822962,4.183093070983887,0.015932291712789214,4.184128522872925,3.80779214254387
run_34,DONE,knucleotide,py,False,5,38.5,3.53,0.0,1697566572.329621,1697566576.382926,4.05330491065979,0.015212672964654075,4.032838582992554,3.7721998169749615
run_35,DONE,knucleotide,py,True,1,32.9,3.55,0.0,1697566586.440893,1697566589.088116,2.6472229957580566,0.009703959795048157,2.6425580978393555,3.6721840866932847
run_36,DONE,knucleotide,py,True,2,34.1,3.55,0.0,1697566590.144492,1697566592.792265,2.647772789001465,0.010358572674764921,2.660686492919922,3.8931954976014835
run_37,DONE,knucleotide,py,True,3,32.2,3.547,0.0,1697566593.847987,1697566596.593127,2.7451400756835938,0.010038995078547261,2.7360410690307617,3.669168270965889
run_38,DONE,knucleotide,py,True,4,33.0,3.542,0.0,1697566597.643986,1697566600.117728,2.4737420082092285,0.00908823046310393,2.4613120555877686,3.6924332461101255
run_39,DONE,knucleotide,py,True,5,33.7,3.545,0.0,1697566601.1782389,1697566603.532228,2.3539891242980957,0.008747641942852283,2.3562259674072266,3.712564950838787
run_40,DONE,knucleotide,js,False,1,32.2,3.567,0.0,1697566613.5919502,1697566616.25956,2.667609691619873,0.00970262640961387,2.6655516624450684,3.640006887247424
run_41,DONE,knucleotide,js,False,2,34.1,3.559,0.0,1697566617.317782,1697566619.916042,2.5982601642608643,0.010281689058817173,2.597632646560669,3.9580997230037087
run_42,DONE,knucleotide,js,False,3,33.0,3.567,0.0,1697566620.967985,1697566623.73007,2.762085199356079,0.010717885533755847,2.7844631671905518,3.849174828399653
run_43,DONE,knucleotide,js,False,4,30.7,3.574,0.0,1697566624.786643,1697566627.520509,2.733865976333618,0.010473635672052256,2.731412887573242,3.834512065057176
run_44,DONE,knucleotide,js,False,5,33.3,3.562,0.0,1697566628.578323,1697566631.30927,2.7309470176696777,0.010643880692656493,2.720553159713745,3.912395776811961
run_45,DONE,knucleotide,js,True,1,32.6,3.56,0.0,1697566641.367272,1697566643.698766,2.331494092941284,0.008885606232796312,2.332948923110962,3.808744437039562
run_46,DONE,knucleotide,js,True,2,33.7,3.57,0.0,1697566644.757845,1697566647.370295,2.612450122833252,0.00981311723811549,2.6068079471588135,3.7644189510818804
run_47,DONE,knucleotide,js,True,3,33.3,3.562,0.0,1697566648.430685,1697566651.0531578,2.622472763061523,0.010318162525351986,2.615734100341797,3.944652678574522
run_48,DONE,knucleotide,js,True,4,32.9,3.566,0.0,1697566652.109507,1697566654.857057,2.7475500106811523,0.010773258114850335,2.7469918727874756,3.9218383649305473
run_49,DONE,knucleotide,js,True,5,33.7,3.562,0.0,1697566655.9180548,1697566658.54133,2.6232750415802,0.010237975982457126,2.6199991703033447,3.9076256582446813
run_50,DONE,knucleotide,cpp,False,1,16.3,3.505,0.0,1697566668.60322,1697566671.291156,2.6879360675811768,0.009964104477800582,2.692963123321533,3.7000523295360743
run_51,DONE,knucleotide,cpp,False,2,15.7,3.5,0.0,1697566672.352728,1697566674.991622,2.6388938426971436,0.010109887351596403,2.636301040649414,3.834875909735248
run_52,DONE,knucleotide,cpp,False,3,19.5,3.499,0.0,1697566676.04945,1697566678.6851149,2.635664939880371,0.009763679100170805,2.6426265239715576,3.6946874677913777
run_53,DONE,knucleotide,cpp,False,4,8.4,3.506,0.0,1697566679.7411242,1697566682.449155,2.708030939102173,0.010248330165991849,2.694387912750244,3.803583781494575
run_54,DONE,knucleotide,cpp,False,5,8.2,3.497,0.0,1697566683.507686,1697566686.291622,2.783936023712158,0.010310178296101726,2.7918810844421387,3.6929145562665897
run_55,DONE,knucleotide,cpp,True,1,11.4,3.499,0.0,1697566696.346314,1697566699.041213,2.694899082183838,0.010155685146363726,2.7028298377990723,3.757426754853924
run_56,DONE,knucleotide,cpp,True,2,13.8,3.501,0.0,1697566700.101183,1697566702.637152,2.5359690189361572,0.009782091889993535,2.5240325927734375,3.875580655337281
run_57,DONE,knucleotide,cpp,True,3,7.1,3.492,0.0,1697566703.696793,1697566706.4595451,2.762752056121826,0.010793641699191949,2.751378297805786,3.9229944162167145
run_58,DONE,knucleotide,cpp,True,4,10.3,3.497,0.0,1697566707.521141,1697566710.2437718,2.722630739212036,0.010697761747168605,2.7176761627197266,3.93636368229494
run_59,DONE,knucleotide,cpp,True,5,11.4,3.498,0.0,1697566711.292537,1697566713.995299,2.7027621269226074,0.010146480070997853,2.6968390941619873,3.7623601990057765
run_60,DONE,pidigits,py,False,1,37.0,3.546,0.0,1697566724.053313,1697566726.7404742,2.6871612071990967,0.009272322543124042,2.6723384857177734,3.469741049900553
run_61,DONE,pidigits,py,False,2,33.3,3.552,0.0,1697566727.800776,1697566730.429222,2.628445863723755,0.009767394774754998,2.62556791305542,3.720107457966497
run_62,DONE,pidigits,py,False,3,31.8,3.559,0.0,1697566731.486154,1697566734.106459,2.620304822921753,0.01027391954106945,2.604630708694458,3.9444822280465
run_63,DONE,pidigits,py,False,4,32.6,3.547,0.0,1697566735.161996,1697566737.889123,2.7271268367767334,0.009555957766830315,2.7361605167388916,3.4924697247731786
run_64,DONE,pidigits,py,False,5,31.0,3.551,0.0,1697566738.943915,1697566741.5831838,2.6392688751220703,0.009683192827020341,2.6420793533325195,3.6649894011724866
run_65,DONE,pidigits,py,True,1,32.6,3.538,0.0,1697566751.6405602,1697566754.278697,2.638136863708496,0.009414065784507658,2.650012969970703,3.55246026762342
run_66,DONE,pidigits,py,True,2,32.1,3.554,0.0,1697566755.327793,1697566757.870448,2.5426552295684814,0.009405429006163878,2.542825698852539,3.6988099539847026
