__run_id,__done,Algorithm,Language,GPT,Repetitions,avg_cpu,avg_mem,avg_disk_io,start_time,end_time,run_time,total_energy(J),monsoon_run_time(ms),average_power(W)
run_0,DONE,fasta,py,False,1,66.5,4.308,0.0,1697568162.1472409,1697568178.99616,16.8489191532135,0.07239403342421093,16.846048831939697,4.297389503404122
run_1,DONE,fasta,py,False,2,49.611,3.979,0.0,1697568180.06751,1697568195.659982,15.592471837997437,0.06269631275102516,15.582019090652466,4.023632135622026
run_2,DONE,fasta,py,False,3,50.533,3.989,0.0,1697568196.723812,1697568211.998813,15.275000810623167,0.062104059440927076,15.284900188446045,4.063098788690287
run_3,DONE,fasta,py,False,4,49.989,3.929,0.0,1697568213.060343,1697568228.062976,15.00263285636902,0.060187043396842506,15.01300597190857,4.008993502664348
run_4,DONE,fasta,py,False,5,50.156,4.005,0.0,1697568229.123394,1697568244.253047,15.129652976989746,0.06128859983546353,15.134786367416382,4.04951866168468
run_5,DONE,fasta,py,True,1,30.667,3.596,0.0,1697568254.318345,1697568264.151312,9.832966804504396,0.03715828213312538,9.832072734832764,3.7792928444764415
run_6,DONE,fasta,py,True,2,28.817,3.594,0.0,1697568265.2090628,1697568274.993645,9.784582138061523,0.037100684844742146,9.78447675704956,3.791790380411675
run_7,DONE,fasta,py,True,3,29.267,3.603,0.0,1697568276.0504498,1697568285.92164,9.871190071105955,0.037620719149937185,9.853157997131348,3.818138221359091
run_8,DONE,fasta,py,True,4,32.66,3.614,0.0,1697568286.972675,1697568295.4206588,8.447983741760254,0.03189632702322826,8.450518608093262,3.774481603138581
run_9,DONE,fasta,py,True,5,32.7,3.62,0.0,1697568296.461226,1697568304.930657,8.469430923461914,0.03254524748018825,8.47063159942627,3.8421276026680933
run_10,DONE,fasta,js,False,1,16.05,3.587,0.0,1697568314.972498,1697568326.098805,11.126307010650637,0.040013317717398446,11.122200727462769,3.5976079462941333
run_11,DONE,fasta,js,False,2,19.65,3.606,0.0,1697568327.1590312,1697568338.0739388,10.914907693862917,0.039804682222610556,10.923997163772583,3.643783646760311
run_12,DONE,fasta,js,False,3,18.167,3.602,0.0,1697568339.141084,1697568349.8635871,10.722503185272217,0.03888778745911015,10.714428424835205,3.6294784861291634
run_13,DONE,fasta,js,False,4,19.0,3.597,0.0,1697568350.927947,1697568361.6588612,10.730914115905762,0.040067187608534297,10.729519844055176,3.734294562187144
run_14,DONE,fasta,js,False,5,19.05,3.598,0.0,1697568362.723407,1697568373.668643,10.945235967636108,0.04036346738826431,10.935816526412964,3.6909422621324692
run_15,DONE,fasta,js,True,1,32.2,3.547,0.0,1697568383.731228,1697568386.403196,2.6719679832458496,0.010279552192986305,2.6699588298797607,3.8500789143064185
run_16,DONE,fasta,js,True,2,33.7,3.576,0.0,1697568387.444854,1697568390.037052,2.592197895050049,0.010085177595880573,2.5961525440216064,3.884662948294243
run_17,DONE,fasta,js,True,3,33.3,3.579,0.0,1697568391.088243,1697568393.720479,2.6322360038757324,0.010389754690365292,2.631361484527588,3.9484330645778147
run_18,DONE,fasta,js,True,4,34.1,3.575,0.0,1697568394.773141,1697568397.5117598,2.738618850708008,0.010121764703797453,2.7384727001190186,3.696134967260234
run_19,DONE,fasta,js,True,5,33.4,3.572,0.0,1697568398.56526,1697568401.327293,2.762032985687256,0.010740906702770704,2.7623937129974365,3.8882606241946194
run_20,DONE,fasta,cpp,False,1,16.78,3.541,0.0,1697568411.381182,1697568420.848246,9.467064142227173,0.03359219267818363,9.455037117004395,3.5528356221648045
run_21,DONE,fasta,cpp,False,2,15.367,3.533,0.0,1697568421.9128032,1697568432.608567,10.69576382637024,0.03806857497904503,10.684780836105347,3.5628784121061305
run_22,DONE,fasta,cpp,False,3,17.367,3.523,0.0,1697568433.6739872,1697568444.3026628,10.628675699234009,0.03866229283929179,10.635668754577637,3.6351539081782116
run_23,DONE,fasta,cpp,False,4,18.6,3.538,0.0,1697568445.367358,1697568454.83231,9.464951992034912,0.03472324113289474,9.489240884780884,3.6592222238329795
run_24,DONE,fasta,cpp,False,5,17.533,3.528,0.0,1697568455.894368,1697568466.641322,10.746953964233398,0.038800554832890743,10.74726390838623,3.6102728251247433
run_25,DONE,fasta,cpp,True,1,27.371,3.516,0.0,1697568476.706635,1697568489.171969,12.465333938598633,0.04768268532961724,12.467838525772095,3.8244548348178418
run_26,DONE,fasta,cpp,True,2,29.171,3.521,0.0,1697568490.248713,1697568502.8040729,12.555359840393066,0.04685840247865464,12.530611991882324,3.7395142798301313
run_27,DONE,fasta,cpp,True,3,25.671,3.525,0.0,1697568503.873877,1697568516.011302,12.1374249458313,0.045713209697099695,12.15191912651062,3.7618099018921036
run_28,DONE,fasta,cpp,True,4,26.057,3.524,0.0,1697568517.083071,1697568529.633295,12.55022406578064,0.04730344806862762,12.526877164840698,3.7761564551295073
run_29,DONE,fasta,cpp,True,5,27.586,3.525,0.0,1697568530.7046132,1697568543.62342,12.918806791305542,0.048520694464886105,12.916145086288452,3.7565925545691496
run_30,DONE,knucleotide,py,False,1,38.6,3.539,0.0,1697568553.691368,1697568557.869856,4.178488254547119,0.015397708885073812,4.177562713623047,3.6858115462544294
run_31,DONE,knucleotide,py,False,2,36.05,3.54,0.0,1697568558.925508,1697568563.055951,4.130443096160889,0.01569801529779216,4.117299795150757,3.812696689291573
run_32,DONE,knucleotide,py,False,3,39.4,3.54,0.0,1697568564.105684,1697568568.214477,4.108793020248413,0.01564302335681741,4.116868019104004,3.7997388510457917
run_33,DONE,knucleotide,py,False,4,29.45,3.548,0.0,1697568569.267719,1697568573.432932,4.165213108062744,0.015567277990046915,4.1890575885772705,3.716176648536844
run_34,DONE,knucleotide,py,False,5,37.75,3.544,0.0,1697568574.487012,1697568578.6768909,4.189878702163696,0.01552527558727005,4.180293560028076,3.713919935126704
run_35,DONE,knucleotide,py,True,1,33.3,3.567,0.0,1697568588.731095,1697568591.4662778,2.735182762145996,0.010154340955227454,2.750593900680542,3.691690348297182
run_36,DONE,knucleotide,py,True,2,32.2,3.562,0.0,1697568592.520522,1697568595.24411,2.723588228225708,0.010572903688253145,2.7400195598602295,3.858696427989177
run_37,DONE,knucleotide,py,True,3,32.2,3.56,0.0,1697568596.292886,1697568599.039885,2.7469990253448486,0.010735232501212492,2.740760564804077,3.916880824640695
run_38,DONE,knucleotide,py,True,4,33.3,3.566,0.0,1697568600.097444,1697568602.734418,2.6369738578796387,0.010906542085245953,2.6390128135681152,4.1328113411088765
run_39,DONE,knucleotide,py,True,5,33.3,3.563,0.0,1697568603.791896,1697568606.418921,2.6270248889923096,0.010324231979608137,2.6464035511016846,3.9012311539977382
run_40,DONE,knucleotide,js,False,1,33.0,3.579,0.0,1697568616.477309,1697568618.92349,2.446181058883667,0.009156243315199182,2.4333930015563965,3.762747451539006
run_41,DONE,knucleotide,js,False,2,17.25,3.535,0.0,1697568619.984763,1697568624.011058,4.026294946670532,0.01577323713740634,4.027718782424927,3.9161714085485158
run_42,DONE,knucleotide,js,False,3,32.5,3.57,0.0,1697568625.065977,1697568627.606085,2.5401079654693604,0.009319787214126388,2.5128538608551025,3.70884569107212
run_43,DONE,knucleotide,js,False,4,33.7,3.576,0.0,1697568628.661054,1697568631.079238,2.4181840419769287,0.009207680773913846,2.4128007888793945,3.816179444383503
run_44,DONE,knucleotide,js,False,5,32.5,3.575,0.0,1697568632.127399,1697568634.797919,2.670520067214966,0.010207368604174687,2.6789746284484863,3.810177407348658
run_45,DONE,knucleotide,js,True,1,33.3,3.572,0.0,1697568644.854982,1697568647.5813172,2.726335287094116,0.009950925973406681,2.716829538345337,3.662697947353448
run_46,DONE,knucleotide,js,True,2,32.1,3.581,0.0,1697568648.636408,1697568651.2565498,2.6201417446136475,0.010273511419753478,2.645475149154663,3.8834276795366165
run_47,DONE,knucleotide,js,True,3,33.3,3.573,0.0,1697568652.315553,1697568654.952818,2.6372649669647217,0.01036710372591311,2.636183738708496,3.932618039360224
run_48,DONE,knucleotide,js,True,4,34.5,3.568,0.0,1697568656.007334,1697568658.743882,2.7365479469299316,0.010042387115450432,2.7305471897125244,3.6777929175828334
run_49,DONE,knucleotide,js,True,5,32.5,3.573,0.0,1697568659.799177,1697568662.5218182,2.7226412296295166,0.010127295692084072,2.7234461307525635,3.718559209866075
run_50,DONE,knucleotide,cpp,False,1,16.8,3.517,0.0,1697568672.577028,1697568675.198424,2.621396064758301,0.010060520801271115,2.6136105060577393,3.8492808235784084
run_51,DONE,knucleotide,cpp,False,2,15.8,3.515,0.0,1697568676.254688,1697568678.886592,2.631903886795044,0.010267397428039685,2.6536967754364014,3.8690921747648455
run_52,DONE,knucleotide,cpp,False,3,14.9,3.509,0.0,1697568679.9404218,1697568682.55686,2.616438150405884,0.010374616875759224,2.603742837905884,3.984501358860475
run_53,DONE,knucleotide,cpp,False,4,17.8,3.515,0.0,1697568683.614712,1697568686.2421708,2.6274588108062744,0.009807038740700047,2.6280860900878906,3.731627657742396
run_54,DONE,knucleotide,cpp,False,5,15.9,3.519,0.0,1697568687.298141,1697568689.935564,2.637423038482666,0.010273598199924489,2.637007713317871,3.8959302803852225
run_55,DONE,knucleotide,cpp,True,1,16.3,3.514,0.0,1697568699.995051,1697568702.637656,2.6426050662994385,0.009634519469573744,2.637974500656128,3.6522413189276115
run_56,DONE,knucleotide,cpp,True,2,8.4,3.517,0.0,1697568703.698674,1697568706.301276,2.602602005004883,0.01005719965902647,2.6108365058898926,3.852098603776231
run_57,DONE,knucleotide,cpp,True,3,10.5,3.512,0.0,1697568707.3556118,1697568710.005098,2.6494860649108887,0.009889860582959058,2.6418838500976562,3.7434880350979407
run_58,DONE,knucleotide,cpp,True,4,10.3,3.507,0.0,1697568711.060468,1697568713.690368,2.6298999786376953,0.010125213176192123,2.6385536193847656,3.837410428882256
run_59,DONE,knucleotide,cpp,True,5,7.1,3.513,0.0,1697568714.749172,1697568717.431543,2.682371139526367,0.009986450167166457,2.676234483718872,3.731530337838474
run_60,DONE,pidigits,py,False,1,32.6,3.558,0.0,1697568727.4859,1697568730.2344089,2.748508930206299,0.010253529085361635,2.737386465072632,3.745736751529374
run_61,DONE,pidigits,py,False,2,33.7,3.564,0.0,1697568731.292869,1697568733.99828,2.705410957336426,0.01041003585810245,2.7157490253448486,3.833209829387888
run_62,DONE,pidigits,py,False,3,34.1,3.596,0.0,1697568735.053646,1697568737.898277,2.8446309566497803,0.011128863615815224,2.841120719909668,3.9170681970067998
run_63,DONE,pidigits,py,False,4,33.7,3.572,0.0,1697568738.953291,1697568741.648313,2.6950221061706543,0.010091773514665187,2.7022523880004883,3.7345784425904496
run_64,DONE,pidigits,py,False,5,33.3,3.597,0.0,1697568742.70143,1697568745.583061,2.8816308975219727,0.010229899807215517,2.8820579051971436,3.5495122387264297
run_65,DONE,pidigits,py,True,1,32.5,3.562,0.0,1697568755.638456,1697568758.280406,2.6419498920440674,0.00926279458538902,2.6299195289611816,3.5220828939385167
run_66,DONE,pidigits,py,True,2,32.6,3.565,0.0,1697568759.337903,1697568761.95225,2.614346981048584,0.01028769347481416,2.6202774047851562,3.9261848596743048
run_67,DONE,pidigits,py,True,3,31.8,3.565,0.0,1697568763.008097,1697568765.6376,2.629503011703491,0.00990751239647437,2.638546943664551,3.7549123089370933
run_68,DONE,pidigits,py,True,4,33.3,3.562,0.0,1697568766.693351,1697568769.023926,2.3305749893188477,0.008360638745396493,2.3370697498321533,3.5774023201476757
run_69,DONE,pidigits,py,True,5,31.8,3.571,0.0,1697568770.081676,1697568772.7131772,2.6315011978149414,0.009522502560945948,2.6525940895080566,3.5898830501850236
run_70,DONE,pidigits,js,False,1,32.9,3.588,0.0,1697568782.76869,1697568785.114967,2.346277236938477,0.008790517712817258,2.355426549911499,3.7320279476120986
run_71,DONE,pidigits,js,False,2,34.4,3.574,0.0,1697568786.17222,1697568788.724276,2.552056074142456,0.009223057053785398,2.560014486312866,3.6027362747736515
run_72,DONE,pidigits,js,False,3,33.8,3.579,0.0,1697568789.77254,1697568792.4651809,2.692641019821167,0.009568351795154108,2.684129238128662,3.564788035998234
run_73,DONE,pidigits,js,False,4,32.5,3.578,0.0,1697568793.522489,1697568796.153754,2.631264925003052,0.009649994900170263,2.638110876083374,3.6579186218651136
run_74,DONE,pidigits,js,False,5,32.6,3.578,0.0,1697568797.209177,1697568799.8458638,2.6366868019104004,0.009801988010842911,2.6431937217712402,3.7083880496940895
run_75,DONE,pidigits,js,True,1,32.5,3.582,0.0,1697568809.901164,1697568812.231914,2.330749988555908,0.008200460831424818,2.329718828201294,3.519935853270391
run_76,DONE,pidigits,js,True,2,33.3,3.582,0.0,1697568813.288982,1697568815.943712,2.6547300815582275,0.010204580979911997,2.6745805740356445,3.8153948618995686
run_77,DONE,pidigits,js,True,3,37.2,3.515,0.0,1697568816.9986088,1697568819.201156,2.202547311782837,0.008561467691027952,2.206193208694458,3.8806518201976994
run_78,DONE,pidigits,js,True,4,32.6,3.578,0.0,1697568820.256593,1697568822.9038951,2.6473021507263184,0.009553860169265092,2.659552574157715,3.592280995720048
run_79,DONE,pidigits,js,True,5,32.5,3.586,0.0,1697568823.953494,1697568826.273611,2.3201169967651367,0.00867578234550994,2.3260324001312256,3.7298630685541982
run_80,DONE,pidigits,cpp,False,1,8.2,3.517,0.0,1697568836.3286889,1697568838.957574,2.62888503074646,0.009154812006292624,2.633779287338257,3.4759222423472833
run_81,DONE,pidigits,cpp,False,2,8.4,3.513,0.0,1697568840.0186949,1697568842.597993,2.5792980194091797,0.00949102685138159,2.590031385421753,3.6644447263468582
run_82,DONE,pidigits,cpp,False,3,6.0,3.52,0.0,1697568843.652516,1697568846.3396878,2.687171697616577,0.00946631791154897,2.691962480545044,3.5165118310387133
run_83,DONE,pidigits,cpp,False,4,7.2,3.519,0.0,1697568847.400713,1697568850.031762,2.6310489177703857,0.00988511857302277,2.6391003131866455,3.7456395740739175
run_84,DONE,pidigits,cpp,False,5,7.1,3.519,0.0,1697568851.087944,1697568853.828367,2.7404229640960693,0.00956553715927252,2.733325958251953,3.499596208199763
run_85,DONE,pidigits,cpp,True,1,8.3,3.51,0.0,1697568863.885142,1697568866.188002,2.3028600215911865,0.00820728505888308,2.315521478652954,3.544465095464214
run_86,DONE,pidigits,cpp,True,2,7.2,3.519,0.0,1697568867.242979,1697568869.91055,2.6675710678100586,0.009391921376604072,2.678118944168091,3.506909727462274
run_87,DONE,pidigits,cpp,True,3,8.3,3.518,0.0,1697568870.969144,1697568873.6681972,2.6990530490875244,0.009460969554962301,2.709588050842285,3.4916634475197528
run_88,DONE,pidigits,cpp,True,4,8.3,3.512,0.0,1697568874.725627,1697568877.348842,2.6232149600982666,0.009604239056646084,2.6123883724212646,3.6764208408049592
run_89,DONE,pidigits,cpp,True,5,7.2,3.52,0.0,1697568878.395564,1697568881.058676,2.663111925125122,0.009365798412675574,2.6678175926208496,3.5106592139512296
run_90,DONE,regexredux,py,False,1,33.7,3.545,0.0,1697568891.115104,1697568895.189824,4.074720144271851,0.014179415458174164,4.074512720108032,3.480027289692253
run_91,DONE,regexredux,py,False,2,20.4,3.55,0.0,1697568896.247309,1697568900.409858,4.162549018859863,0.014900918389601597,4.1382060050964355,3.6008159988290265
run_92,DONE,regexredux,py,False,3,32.4,3.55,0.0,1697568901.459116,1697568905.473643,4.014527082443237,0.014305311052640827,4.0242249965667725,3.5547990146786677
run_93,DONE,regexredux,py,False,4,20.0,3.559,0.0,1697568906.530059,1697568910.638699,4.10863995552063,0.014960667711437687,4.111259937286377,3.638949601739953
run_94,DONE,regexredux,py,False,5,35.75,3.551,0.0,1697568911.693956,1697568915.661654,3.967697858810425,0.015006014053565424,3.963677167892456,3.7858820024801205
run_95,DONE,regexredux,py,True,1,32.5,3.576,0.0,1697568925.717535,1697568928.359104,2.641568899154663,0.009194895836502771,2.6327788829803467,3.4924679379431995
run_96,DONE,regexredux,py,True,2,32.6,3.564,0.0,1697568929.415273,1697568932.051195,2.6359219551086426,0.009584061894932161,2.6349434852600098,3.6372931520337444
run_97,DONE,regexredux,py,True,3,32.1,3.573,0.0,1697568933.106289,1697568935.424626,2.3183369636535645,0.00892611684051014,2.32126522064209,3.8453670701364615
run_98,DONE,regexredux,py,True,4,33.3,3.575,0.0,1697568936.4817731,1697568939.215809,2.7340359687805176,0.009726164108514858,2.7324726581573486,3.559473533789621
run_99,DONE,regexredux,py,True,5,32.9,3.569,0.0,1697568940.268533,1697568942.9003022,2.6317691802978516,0.010056815813101203,2.6267449855804443,3.828622827228468
run_100,DONE,regexredux,js,False,1,32.6,3.592,0.0,1697568952.96112,1697568955.2917051,2.330585241317749,0.008193829764289381,2.331641674041748,3.514189103545192
run_101,DONE,regexredux,js,False,2,32.1,3.583,0.0,1697568956.351176,1697568958.9890292,2.6378531455993652,0.009340594265855678,2.626678705215454,3.5560475087072034
run_102,DONE,regexredux,js,False,3,33.7,3.581,0.0,1697568960.044796,1697568962.355398,2.3106019496917725,0.008932445776032498,2.2996325492858887,3.8842926357110032
run_103,DONE,regexredux,js,False,4,32.5,3.582,0.0,1697568963.4142249,1697568965.728996,2.3147711753845215,0.00837128625802346,2.308018684387207,3.627044405945131
