__run_id,__done,Algorithm,Language,GPT,Repetitions,avg_cpu,avg_mem,avg_disk_io,start_time,end_time,run_time
run_0,DONE,fasta,py,False,1,50.5,3.952,0.0,1697566166.406663,1697566181.872083,15.465420007705688
run_1,DONE,fasta,py,False,2,49.122,3.931,0.0,1697566182.950188,1697566198.242013,15.29182505607605
run_2,DONE,fasta,py,False,3,48.211,3.938,0.0,1697566199.307946,1697566214.5960581,15.288112163543701
run_3,DONE,fasta,py,False,4,47.689,3.948,0.0,1697566215.661558,1697566230.888096,15.226538181304932
run_4,DONE,fasta,py,False,5,49.989,3.939,0.0,1697566231.9475079,1697566246.7538939,14.80638599395752
run_5,DONE,fasta,py,True,1,29.317,3.58,0.0,1697566256.806606,1697566266.621771,9.815165042877197
run_6,DONE,fasta,py,True,2,29.867,3.584,0.0,1697566267.6742349,1697566277.5422459,9.868010997772217
run_7,DONE,fasta,py,True,3,33.017,3.582,0.0,1697566278.595516,1697566288.417495,9.82197904586792
run_8,DONE,fasta,py,True,4,28.7,3.577,0.0,1697566289.4759371,1697566299.312727,9.836789846420288
run_9,DONE,fasta,py,True,5,33.24,3.591,0.0,1697566300.361394,1697566308.9008782,8.53948426246643
run_10,DONE,fasta,js,False,1,18.8,3.582,0.0,1697566318.956183,1697566329.822746,10.866563081741333
run_11,DONE,fasta,js,False,2,19.267,3.59,0.0,1697566330.877232,1697566341.9822059,11.104973793029785
run_12,DONE,fasta,js,False,3,18.65,3.584,0.0,1697566343.033939,1697566353.771747,10.737808227539062
run_13,DONE,fasta,js,False,4,18.367,3.594,0.0,1697566354.84058,1697566365.481452,10.64087200164795
run_14,DONE,fasta,js,False,5,18.1,3.586,0.0,1697566366.548714,1697566377.3367412,10.788027286529541
run_15,DONE,fasta,js,True,1,32.6,3.551,0.0,1697566387.3989398,1697566390.1513531,2.752413272857666
run_16,DONE,fasta,js,True,2,33.0,3.541,0.0,1697566391.203409,1697566393.753324,2.549915075302124
run_17,DONE,fasta,js,True,3,33.7,3.552,0.0,1697566394.804016,1697566397.5196002,2.7155840396881104
run_18,DONE,fasta,js,True,4,33.7,3.55,0.0,1697566398.568795,1697566401.205256,2.636461019515991
run_19,DONE,fasta,js,True,5,33.3,3.554,0.0,1697566402.256675,1697566404.8889542,2.63227915763855
run_20,DONE,fasta,cpp,False,1,21.64,3.532,0.0,1697566414.936022,1697566424.440342,9.504319906234741
run_21,DONE,fasta,cpp,False,2,20.86,3.514,0.0,1697566425.4993951,1697566434.982167,9.482771873474121
run_22,DONE,fasta,cpp,False,3,15.64,3.51,0.0,1697566436.0439749,1697566445.1809669,9.13699197769165
run_23,DONE,fasta,cpp,False,4,19.28,3.525,0.0,1697566446.221696,1697566455.549213,9.327517032623291
