__run_id,__done,Algorithm,Language,GPT,Repetitions,avg_cpu,avg_mem,avg_disk_io,start_time,end_time,run_time
run_0,DONE,fasta,py,False,1,47.822,4.004,0.0,1697569952.553832,1697569967.9310741,15.377242088317871
run_1,DONE,fasta,py,False,2,49.522,3.961,0.0,1697569969.00237,1697569983.983861,14.981490850448608
run_2,DONE,fasta,py,False,3,51.244,4.023,0.0,1697569985.0384781,1697570000.248866,15.210387945175171
run_3,DONE,fasta,py,False,4,47.656,3.923,0.0,1697570001.31302,1697570016.485034,15.172013998031616
run_4,DONE,fasta,py,False,5,48.989,4.029,0.0,1697570017.552757,1697570032.514097,14.961339950561523
run_5,DONE,fasta,py,True,1,32.82,3.626,0.0,1697570042.586544,1697570050.98869,8.402145862579346
run_6,DONE,fasta,py,True,2,32.72,3.63,0.0,1697570052.046135,1697570060.2887769,8.242641925811768
run_7,DONE,fasta,py,True,3,32.8,3.631,0.0,1697570061.330719,1697570069.9198909,8.589171886444092
run_8,DONE,fasta,py,True,4,33.0,3.628,0.0,1697570070.9660249,1697570079.435083,8.4690580368042
run_9,DONE,fasta,py,True,5,31.033,3.616,0.0,1697570080.476453,1697570090.277498,9.801044940948486
run_10,DONE,fasta,js,False,1,14.643,3.595,0.0,1697570100.332748,1697570112.3773959,12.044647932052612
run_11,DONE,fasta,js,False,2,17.65,3.62,0.0,1697570113.430184,1697570124.014961,10.584777116775513
run_12,DONE,fasta,js,False,3,20.017,3.617,0.0,1697570125.0783842,1697570136.038234,10.959849834442139
run_13,DONE,fasta,js,False,4,19.267,3.605,0.0,1697570137.103622,1697570147.816834,10.713212013244629
run_14,DONE,fasta,js,False,5,17.75,3.61,0.0,1697570148.873613,1697570159.374578,10.500964879989624
run_15,DONE,fasta,js,True,1,32.9,3.593,0.0,1697570169.440047,1697570172.121428,2.6813809871673584
run_16,DONE,fasta,js,True,2,33.3,3.581,0.0,1697570173.17521,1697570175.77359,2.5983800888061523
run_17,DONE,fasta,js,True,3,33.7,3.593,0.0,1697570176.8225942,1697570179.496855,2.6742608547210693
run_18,DONE,fasta,js,True,4,34.5,3.587,0.0,1697570180.546752,1697570183.273851,2.7270989418029785
run_19,DONE,fasta,js,True,5,33.7,3.588,0.0,1697570184.322282,1697570186.9763021,2.654020071029663
run_20,DONE,fasta,cpp,False,1,20.2,3.564,0.0,1697570197.030675,1697570206.706181,9.675506114959717
run_21,DONE,fasta,cpp,False,2,16.96,3.555,0.0,1697570207.773102,1697570217.237762,9.464659929275513
run_22,DONE,fasta,cpp,False,3,17.22,3.555,0.0,1697570218.288366,1697570227.895794,9.607427835464478
run_23,DONE,fasta,cpp,False,4,18.22,3.55,0.0,1697570228.957551,1697570238.432412,9.474860906600952
run_24,DONE,fasta,cpp,False,5,20.58,3.547,0.0,1697570239.495554,1697570249.012813,9.517259120941162
run_25,DONE,fasta,cpp,True,1,27.029,3.537,0.0,1697570259.081064,1697570271.2044852,12.12342119216919
run_26,DONE,fasta,cpp,True,2,30.429,3.532,0.0,1697570272.275177,1697570284.781726,12.506548881530762
run_27,DONE,fasta,cpp,True,3,27.486,3.536,0.0,1697570285.844587,1697570298.003074,12.15848684310913
run_28,DONE,fasta,cpp,True,4,27.871,3.53,0.0,1697570299.059544,1697570311.2831318,12.22358775138855
run_29,DONE,fasta,cpp,True,5,27.971,3.535,0.0,1697570312.360039,1697570324.713444,12.353404998779297
run_30,DONE,knucleotide,py,False,1,39.35,3.559,0.0,1697570334.7810261,1697570338.934913,4.153886795043945
run_31,DONE,knucleotide,py,False,2,26.3,3.556,0.0,1697570339.992733,1697570344.1470149,4.154281854629517
run_32,DONE,knucleotide,py,False,3,38.5,3.556,0.0,1697570345.1956742,1697570349.363321,4.167646884918213
run_33,DONE,knucleotide,py,False,4,39.15,3.557,0.0,1697570350.417082,1697570354.5946271,4.177545070648193
run_34,DONE,knucleotide,py,False,5,22.3,3.568,0.0,1697570355.6505358,1697570359.811029,4.1604931354522705
