__run_id,__done,Algorithm,Language,GPT,Repetitions,avg_cpu,avg_mem,avg_disk_io,start_time,end_time,run_time
run_0,DONE,fasta,py,False,1,69.1,4.05,0.0,1697574145.187638,1697574162.1976051,17.00996708869934
run_1,DONE,fasta,py,False,2,49.878,4.015,0.0,1697574163.268539,1697574178.6317902,15.363251209259033
run_2,DONE,fasta,py,False,3,50.078,4.041,0.0,1697574179.701896,1697574195.1145868,15.412690877914429
run_3,DONE,fasta,py,False,4,49.378,3.936,0.0,1697574196.179735,1697574211.350303,15.170567989349365
run_4,DONE,fasta,py,False,5,49.156,3.923,0.0,1697574212.413988,1697574227.909684,15.49569582939148
run_5,DONE,fasta,py,True,1,28.667,3.619,0.0,1697574237.974688,1697574247.855113,9.880424976348877
run_6,DONE,fasta,py,True,2,32.367,3.639,0.0,1697574248.909166,1697574258.8160288,9.906862735748291
run_7,DONE,fasta,py,True,3,28.967,3.623,0.0,1697574259.859105,1697574269.7518332,9.892728090286255
run_8,DONE,fasta,py,True,4,31.417,3.618,0.0,1697574270.8072782,1697574280.603391,9.796112775802612
run_9,DONE,fasta,py,True,5,28.917,3.621,0.0,1697574281.655751,1697574291.519146,9.863394975662231
run_10,DONE,fasta,js,False,1,17.117,3.608,0.0,1697574301.573157,1697574312.659432,11.086274862289429
run_11,DONE,fasta,js,False,2,17.867,3.629,0.0,1697574313.725099,1697574324.5502772,10.825178146362305
run_12,DONE,fasta,js,False,3,18.383,3.633,0.0,1697574325.613385,1697574336.366053,10.752668142318726
run_13,DONE,fasta,js,False,4,18.233,3.622,0.0,1697574337.431479,1697574348.064922,10.633443117141724
run_14,DONE,fasta,js,False,5,18.8,3.627,0.0,1697574349.127703,1697574360.177448,11.049745082855225
run_15,DONE,fasta,js,True,1,33.0,3.593,0.0,1697574370.248564,1697574372.886476,2.6379120349884033
run_16,DONE,fasta,js,True,2,33.7,3.592,0.0,1697574373.939233,1697574376.565718,2.6264848709106445
run_17,DONE,fasta,js,True,3,37.0,3.592,0.0,1697574377.6183639,1697574380.2500281,2.631664276123047
run_18,DONE,fasta,js,True,4,34.4,3.594,0.0,1697574381.299881,1697574384.0507,2.750818967819214
run_19,DONE,fasta,js,True,5,32.9,3.592,0.0,1697574385.101171,1697574387.821687,2.7205159664154053
run_20,DONE,fasta,cpp,False,1,18.24,3.56,0.0,1697574397.8820229,1697574407.5792902,9.697267293930054
run_21,DONE,fasta,cpp,False,2,19.0,3.561,0.0,1697574408.644974,1697574418.3296719,9.68469786643982
run_22,DONE,fasta,cpp,False,3,18.62,3.562,0.0,1697574419.388649,1697574429.00382,9.615170955657959
run_23,DONE,fasta,cpp,False,4,19.46,3.563,0.0,1697574430.0659058,1697574439.28894,9.223034143447876
run_24,DONE,fasta,cpp,False,5,18.8,3.576,0.0,1697574440.338498,1697574450.011022,9.672523975372314
run_25,DONE,fasta,cpp,True,1,30.4,3.547,0.0,1697574460.0806248,1697574472.509562,12.428937196731567
run_26,DONE,fasta,cpp,True,2,29.743,3.545,0.0,1697574473.5791218,1697574486.0205219,12.441400051116943
run_27,DONE,fasta,cpp,True,3,28.186,3.549,0.0,1697574487.0913,1697574499.434871,12.343570947647095
run_28,DONE,fasta,cpp,True,4,28.686,3.549,0.0,1697574500.505722,1697574512.980185,12.474462985992432
run_29,DONE,fasta,cpp,True,5,31.4,3.542,0.0,1697574514.047426,1697574526.521624,12.47419810295105
run_30,DONE,knucleotide,py,False,1,40.25,3.567,0.0,1697574536.591636,1697574540.7118149,4.120178937911987
run_31,DONE,knucleotide,py,False,2,23.4,3.574,0.0,1697574541.765821,1697574545.932459,4.166638135910034
run_32,DONE,knucleotide,py,False,3,39.85,3.572,0.0,1697574546.986013,1697574551.006112,4.02009916305542
